[13:34:58] ============================================================
[13:34:58] [REALTIME MONITOR] Started - 10s interval
[13:34:58] ============================================================
[13:34:59] Price: $1960.00 | Vol: 1150 | Change: +0.02% | Status: Normal
[15:20:52] Price: $1964.37 | Vol: 466 | Change: +0.00% | Status: Normal
[15:21:02] Price: $1964.67 | Vol: 512 | Change: +0.02% | Status: Normal
[15:21:12] Price: $1964.74 | Vol: 24 | Change: +0.00% | Status: Normal
[15:21:22] Price: $1964.60 | Vol: 73 | Change: -0.01% | Status: Normal
[15:21:32] Price: $1964.79 | Vol: 94 | Change: +0.00% | Status: Normal
[15:21:42] Price: $1964.64 | Vol: 130 | Change: -0.00% | Status: Normal
[15:21:52] Price: $1964.16 | Vol: 542 | Change: -0.03% | Status: 🚨 SPIKE DETECTED
[15:22:03] Price: $1963.75 | Vol: 658 | Change: -0.05% | Status: 🚨 SPIKE DETECTED
[15:22:13] Price: $1964.13 | Vol: 132 | Change: +0.02% | Status: Normal
[15:22:23] Price: $1964.29 | Vol: 155 | Change: +0.03% | Status: Normal
[15:22:33] Price: $1964.42 | Vol: 181 | Change: +0.03% | Status: Normal
[15:22:43] Price: $1964.29 | Vol: 196 | Change: +0.03% | Status: Normal
[15:22:53] Price: $1964.07 | Vol: 212 | Change: +0.02% | Status: Normal
[15:23:03] Price: $1963.89 | Vol: 24 | Change: +0.00% | Status: Normal
[15:23:13] Price: $1963.88 | Vol: 44 | Change: +0.00% | Status: Normal
[15:23:23] Price: $1963.91 | Vol: 132 | Change: +0.00% | Status: Normal
[15:23:33] Price: $1964.10 | Vol: 154 | Change: +0.01% | Status: Normal
[15:23:43] Price: $1963.92 | Vol: 216 | Change: +0.00% | Status: Normal
[15:23:53] Price: $1963.71 | Vol: 299 | Change: -0.01% | Status: Normal
[15:24:03] Price: $1962.82 | Vol: 1377 | Change: -0.05% | Status: 🚨 SPIKE DETECTED
[15:24:13] Price: $1962.63 | Vol: 131 | Change: -0.01% | Status: Normal
[15:24:23] Price: $1962.62 | Vol: 257 | Change: -0.01% | Status: Normal
[15:24:33] Price: $1962.66 | Vol: 358 | Change: -0.01% | Status: Normal
[15:24:43] Price: $1962.65 | Vol: 373 | Change: -0.01% | Status: Normal
[15:24:53] Price: $1962.66 | Vol: 398 | Change: -0.01% | Status: Normal
[15:25:03] Price: $1962.66 | Vol: 401 | Change: -0.01% | Status: Normal
[15:25:13] Price: $1962.67 | Vol: 82 | Change: +0.00% | Status: Normal
[15:25:24] Price: $1962.81 | Vol: 344 | Change: +0.01% | Status: Normal
[15:25:34] Price: $1962.94 | Vol: 375 | Change: +0.01% | Status: Normal
[15:25:44] Price: $1962.93 | Vol: 379 | Change: +0.01% | Status: Normal
[15:25:54] Price: $1962.93 | Vol: 402 | Change: +0.01% | Status: Normal
[15:26:04] Price: $1963.15 | Vol: 494 | Change: +0.02% | Status: Normal
[15:26:14] Price: $1963.18 | Vol: 11 | Change: +0.00% | Status: Normal
[15:26:24] Price: $1963.04 | Vol: 85 | Change: -0.01% | Status: Normal
[15:26:34] Price: $1963.06 | Vol: 91 | Change: -0.00% | Status: Normal
[15:26:44] Price: $1962.93 | Vol: 168 | Change: -0.01% | Status: Normal
[15:26:54] Price: $1962.93 | Vol: 189 | Change: -0.01% | Status: Normal
[15:27:04] Price: $1962.93 | Vol: 213 | Change: -0.01% | Status: Normal
[15:27:14] Price: $1962.66 | Vol: 107 | Change: -0.01% | Status: Normal
[15:27:24] Price: $1962.81 | Vol: 325 | Change: -0.01% | Status: Normal
[15:27:34] Price: $1962.84 | Vol: 384 | Change: -0.00% | Status: 🚨 SPIKE DETECTED
[15:27:44] Price: $1962.84 | Vol: 436 | Change: -0.00% | Status: 🚨 SPIKE DETECTED
[15:27:54] Price: $1962.98 | Vol: 464 | Change: +0.00% | Status: 🚨 SPIKE DETECTED
[15:28:04] Price: $1962.94 | Vol: 481 | Change: +0.00% | Status: 🚨 SPIKE DETECTED
[15:28:14] Price: $1962.85 | Vol: 72 | Change: -0.01% | Status: Normal
[15:28:24] Price: $1963.27 | Vol: 128 | Change: +0.02% | Status: Normal
[15:28:35] Price: $1963.06 | Vol: 197 | Change: +0.01% | Status: Normal
[15:28:45] Price: $1963.05 | Vol: 202 | Change: +0.01% | Status: Normal
[15:28:55] Price: $1962.79 | Vol: 484 | Change: -0.01% | Status: 🚨 SPIKE DETECTED
[15:29:05] Price: $1962.66 | Vol: 546 | Change: -0.01% | Status: 🚨 SPIKE DETECTED
[15:29:15] Price: $1962.65 | Vol: 6 | Change: -0.00% | Status: Normal
[15:29:25] Price: $1962.66 | Vol: 23 | Change: +0.00% | Status: Normal
[15:29:35] Price: $1962.65 | Vol: 55 | Change: -0.00% | Status: Normal
[15:29:45] Price: $1962.65 | Vol: 112 | Change: -0.00% | Status: Normal
[15:29:55] Price: $1962.58 | Vol: 178 | Change: -0.00% | Status: Normal
[15:30:05] Price: $1962.50 | Vol: 3 | Change: -0.00% | Status: Normal
[15:30:15] Price: $1962.08 | Vol: 318 | Change: -0.02% | Status: 🚨 SPIKE DETECTED
[15:30:25] Price: $1962.33 | Vol: 482 | Change: -0.01% | Status: 🚨 SPIKE DETECTED
[15:30:35] Price: $1962.46 | Vol: 672 | Change: -0.00% | Status: 🚨 SPIKE DETECTED
[15:30:45] Price: $1962.44 | Vol: 699 | Change: -0.00% | Status: 🚨 SPIKE DETECTED
[15:30:55] Price: $1962.11 | Vol: 714 | Change: -0.02% | Status: 🚨 SPIKE DETECTED
[15:31:05] Price: $1961.55 | Vol: 145 | Change: -0.02% | Status: Normal
[15:31:15] Price: $1961.00 | Vol: 298 | Change: -0.04% | Status: Normal
[15:31:25] Price: $1961.38 | Vol: 1526 | Change: -0.02% | Status: 🚨 SPIKE DETECTED
[15:31:35] Price: $1961.42 | Vol: 1717 | Change: -0.02% | Status: 🚨 SPIKE DETECTED
[15:31:46] Price: $1961.59 | Vol: 1908 | Change: -0.01% | Status: 🚨 SPIKE DETECTED
[15:31:56] Price: $1961.52 | Vol: 1935 | Change: -0.02% | Status: 🚨 SPIKE DETECTED
[15:32:06] Price: $1961.22 | Vol: 24 | Change: -0.01% | Status: Normal
[15:32:16] Price: $1961.03 | Vol: 92 | Change: -0.02% | Status: Normal
[15:32:26] Price: $1961.03 | Vol: 257 | Change: -0.02% | Status: Normal
[15:32:36] Price: $1961.04 | Vol: 628 | Change: -0.02% | Status: Normal
[15:32:46] Price: $1960.58 | Vol: 839 | Change: -0.04% | Status: Normal
[15:32:56] Price: $1960.59 | Vol: 872 | Change: -0.04% | Status: Normal
[15:33:06] Price: $1960.23 | Vol: 1702 | Change: -0.06% | Status: 🚨 SPIKE DETECTED
[15:33:16] Price: $1960.45 | Vol: 145 | Change: +0.01% | Status: Normal
[15:33:26] Price: $1960.46 | Vol: 166 | Change: +0.01% | Status: Normal
[15:33:36] Price: $1960.78 | Vol: 517 | Change: +0.03% | Status: Normal
[15:33:46] Price: $1960.77 | Vol: 522 | Change: +0.03% | Status: Normal
[15:33:56] Price: $1960.78 | Vol: 550 | Change: +0.03% | Status: Normal
[15:34:06] Price: $1960.77 | Vol: 589 | Change: +0.03% | Status: Normal
[15:34:16] Price: $1960.95 | Vol: 90 | Change: +0.01% | Status: Normal
[15:34:26] Price: $1960.97 | Vol: 150 | Change: +0.01% | Status: Normal
[15:34:36] Price: $1960.96 | Vol: 184 | Change: +0.01% | Status: Normal
[15:34:46] Price: $1960.96 | Vol: 254 | Change: +0.01% | Status: Normal
[15:34:56] Price: $1960.96 | Vol: 364 | Change: +0.01% | Status: Normal
[15:35:07] Price: $1961.39 | Vol: 14 | Change: -0.01% | Status: Normal
[15:35:17] Price: $1961.38 | Vol: 19 | Change: -0.01% | Status: Normal
[15:35:27] Price: $1960.98 | Vol: 112 | Change: -0.03% | Status: Normal
[15:35:37] Price: $1960.62 | Vol: 145 | Change: -0.04% | Status: Normal
[15:35:47] Price: $1961.07 | Vol: 352 | Change: -0.02% | Status: Normal
[15:35:57] Price: $1960.72 | Vol: 453 | Change: -0.04% | Status: Normal
[15:36:07] Price: $1960.89 | Vol: 540 | Change: -0.03% | Status: 🚨 SPIKE DETECTED
[15:36:17] Price: $1961.54 | Vol: 128 | Change: +0.03% | Status: Normal
[15:36:27] Price: $1961.36 | Vol: 181 | Change: +0.02% | Status: Normal
[15:36:37] Price: $1960.86 | Vol: 322 | Change: -0.00% | Status: Normal
[15:36:48] Price: $1960.85 | Vol: 329 | Change: -0.00% | Status: Normal
[15:36:58] Price: $1960.86 | Vol: 399 | Change: -0.00% | Status: Normal
[15:37:08] Price: $1960.37 | Vol: 466 | Change: -0.02% | Status: Normal
[15:37:18] Price: $1960.49 | Vol: 504 | Change: -0.02% | Status: Normal
[15:37:28] Price: $1960.71 | Vol: 576 | Change: -0.01% | Status: 🚨 SPIKE DETECTED
[15:37:38] Price: $1960.72 | Vol: 596 | Change: -0.01% | Status: 🚨 SPIKE DETECTED
[15:37:48] Price: $1960.10 | Vol: 803 | Change: -0.04% | Status: 🚨 SPIKE DETECTED
[15:37:58] Price: $1960.33 | Vol: 931 | Change: -0.03% | Status: 🚨 SPIKE DETECTED
[15:38:08] Price: $1960.34 | Vol: 1 | Change: +0.00% | Status: Normal
[15:38:18] Price: $1960.36 | Vol: 121 | Change: +0.00% | Status: Normal
[15:38:28] Price: $1960.37 | Vol: 145 | Change: +0.00% | Status: Normal
[15:38:38] Price: $1960.20 | Vol: 206 | Change: -0.01% | Status: Normal
[15:38:48] Price: $1960.66 | Vol: 421 | Change: +0.02% | Status: Normal
[15:38:58] Price: $1960.66 | Vol: 482 | Change: +0.02% | Status: Normal
[15:39:08] Price: $1961.11 | Vol: 21 | Change: +0.01% | Status: Normal
[15:39:18] Price: $1961.11 | Vol: 68 | Change: +0.01% | Status: Normal
[15:39:28] Price: $1961.04 | Vol: 995 | Change: +0.00% | Status: 🚨 SPIKE DETECTED
[15:39:38] Price: $1961.05 | Vol: 997 | Change: +0.01% | Status: 🚨 SPIKE DETECTED
[15:39:48] Price: $1961.05 | Vol: 1080 | Change: +0.01% | Status: 🚨 SPIKE DETECTED
[15:39:59] Price: $1961.13 | Vol: 1101 | Change: +0.01% | Status: 🚨 SPIKE DETECTED
[15:40:09] Price: $1961.51 | Vol: 268 | Change: +0.01% | Status: Normal
[15:40:19] Price: $1961.94 | Vol: 293 | Change: +0.04% | Status: Normal
[15:40:29] Price: $1961.93 | Vol: 314 | Change: +0.03% | Status: Normal
[15:40:39] Price: $1962.00 | Vol: 540 | Change: +0.04% | Status: Normal
[15:40:49] Price: $1961.99 | Vol: 836 | Change: +0.04% | Status: 🚨 SPIKE DETECTED
[15:40:59] Price: $1961.99 | Vol: 862 | Change: +0.04% | Status: 🚨 SPIKE DETECTED
[15:41:09] Price: $1962.00 | Vol: 143 | Change: +0.00% | Status: Normal
[15:41:19] Price: $1962.24 | Vol: 539 | Change: +0.01% | Status: Normal
[15:41:29] Price: $1962.01 | Vol: 563 | Change: +0.00% | Status: Normal
[15:41:39] Price: $1961.82 | Vol: 609 | Change: -0.01% | Status: Normal
[15:41:49] Price: $1961.83 | Vol: 620 | Change: -0.01% | Status: Normal
[15:41:59] Price: $1961.82 | Vol: 637 | Change: -0.01% | Status: Normal
[15:42:09] Price: $1961.82 | Vol: 7 | Change: -0.00% | Status: Normal
[15:42:19] Price: $1961.82 | Vol: 14 | Change: -0.00% | Status: Normal
[15:42:29] Price: $1961.82 | Vol: 102 | Change: -0.00% | Status: Normal
[15:42:40] Price: $1961.81 | Vol: 106 | Change: -0.00% | Status: Normal
[15:42:50] Price: $1961.82 | Vol: 133 | Change: -0.00% | Status: Normal
[15:43:00] Price: $1961.68 | Vol: 160 | Change: -0.01% | Status: Normal
[15:43:10] Price: $1961.67 | Vol: 30 | Change: +0.00% | Status: Normal
[15:43:20] Price: $1961.67 | Vol: 38 | Change: +0.00% | Status: Normal
[15:43:30] Price: $1961.68 | Vol: 162 | Change: +0.00% | Status: Normal
[15:43:40] Price: $1961.46 | Vol: 208 | Change: -0.01% | Status: Normal
[15:43:50] Price: $1961.45 | Vol: 220 | Change: -0.01% | Status: Normal
[15:44:00] Price: $1961.45 | Vol: 234 | Change: -0.01% | Status: Normal
[15:44:10] Price: $1961.45 | Vol: 6 | Change: -0.00% | Status: Normal
[15:44:20] Price: $1961.40 | Vol: 49 | Change: -0.00% | Status: Normal
[15:44:30] Price: $1961.40 | Vol: 130 | Change: -0.00% | Status: Normal
[15:44:40] Price: $1961.32 | Vol: 139 | Change: -0.01% | Status: Normal
[15:44:50] Price: $1961.32 | Vol: 149 | Change: -0.01% | Status: Normal
[15:45:00] Price: $1961.33 | Vol: 160 | Change: -0.01% | Status: Normal
[15:45:10] Price: $1961.32 | Vol: 34 | Change: -0.00% | Status: Normal
[15:45:20] Price: $1961.33 | Vol: 69 | Change: +0.00% | Status: Normal
[15:45:30] Price: $1961.20 | Vol: 153 | Change: -0.01% | Status: Normal
[15:45:41] Price: $1961.38 | Vol: 202 | Change: +0.00% | Status: Normal
[15:45:51] Price: $1961.32 | Vol: 206 | Change: -0.00% | Status: Normal
[15:46:01] Price: $1961.23 | Vol: 220 | Change: -0.01% | Status: Normal
[15:46:11] Price: $1961.21 | Vol: 99 | Change: -0.01% | Status: Normal
[15:46:21] Price: $1961.21 | Vol: 102 | Change: -0.01% | Status: Normal
[15:46:31] Price: $1961.13 | Vol: 170 | Change: -0.01% | Status: Normal
[15:46:41] Price: $1961.14 | Vol: 172 | Change: -0.01% | Status: Normal
[15:46:51] Price: $1961.13 | Vol: 183 | Change: -0.01% | Status: Normal
[15:47:01] Price: $1961.13 | Vol: 201 | Change: -0.01% | Status: Normal
[15:47:11] Price: $1961.27 | Vol: 96 | Change: +0.01% | Status: Normal
[15:47:21] Price: $1961.36 | Vol: 128 | Change: +0.01% | Status: Normal
[15:47:31] Price: $1961.65 | Vol: 152 | Change: +0.03% | Status: Normal
[15:47:41] Price: $1961.66 | Vol: 156 | Change: +0.03% | Status: Normal
[15:47:51] Price: $1961.66 | Vol: 216 | Change: +0.03% | Status: Normal
[15:48:01] Price: $1961.49 | Vol: 280 | Change: +0.02% | Status: 🚨 SPIKE DETECTED
[15:48:11] Price: $1961.42 | Vol: 13 | Change: +0.00% | Status: Normal
[15:48:21] Price: $1961.24 | Vol: 51 | Change: -0.01% | Status: Normal
[15:48:31] Price: $1960.69 | Vol: 521 | Change: -0.04% | Status: 🚨 SPIKE DETECTED
[15:48:41] Price: $1960.43 | Vol: 877 | Change: -0.05% | Status: 🚨 SPIKE DETECTED
[15:48:52] Price: $1960.44 | Vol: 919 | Change: -0.05% | Status: 🚨 SPIKE DETECTED
[15:49:02] Price: $1960.20 | Vol: 1044 | Change: -0.06% | Status: 🚨 SPIKE DETECTED
[15:49:12] Price: $1960.02 | Vol: 65 | Change: -0.01% | Status: Normal
[15:49:22] Price: $1959.63 | Vol: 1197 | Change: -0.03% | Status: 🚨 SPIKE DETECTED
[15:49:32] Price: $1960.13 | Vol: 1324 | Change: -0.00% | Status: 🚨 SPIKE DETECTED
[15:49:42] Price: $1960.11 | Vol: 1590 | Change: -0.00% | Status: 🚨 SPIKE DETECTED
[15:49:52] Price: $1960.11 | Vol: 1594 | Change: -0.00% | Status: 🚨 SPIKE DETECTED
[15:50:02] Price: $1960.15 | Vol: 2 | Change: +0.00% | Status: Normal
[15:50:12] Price: $1960.16 | Vol: 47 | Change: +0.00% | Status: Normal
[15:50:22] Price: $1960.16 | Vol: 72 | Change: +0.00% | Status: Normal
[15:50:32] Price: $1960.64 | Vol: 366 | Change: +0.02% | Status: Normal
[15:50:42] Price: $1961.27 | Vol: 474 | Change: +0.06% | Status: Normal
[15:50:52] Price: $1961.27 | Vol: 496 | Change: +0.06% | Status: Normal
[15:51:02] Price: $1961.05 | Vol: 554 | Change: +0.05% | Status: Normal
[15:51:12] Price: $1961.06 | Vol: 34 | Change: +0.00% | Status: Normal
[15:51:22] Price: $1961.22 | Vol: 52 | Change: +0.01% | Status: Normal
[15:51:32] Price: $1961.21 | Vol: 85 | Change: +0.01% | Status: Normal
[15:51:42] Price: $1961.07 | Vol: 137 | Change: +0.00% | Status: Normal
[15:51:53] Price: $1961.06 | Vol: 145 | Change: +0.00% | Status: Normal
[15:52:03] Price: $1961.06 | Vol: 212 | Change: +0.00% | Status: Normal
[15:52:13] Price: $1961.07 | Vol: 3 | Change: +0.00% | Status: Normal
[15:52:23] Price: $1961.07 | Vol: 25 | Change: +0.00% | Status: Normal
[15:52:33] Price: $1960.40 | Vol: 903 | Change: -0.03% | Status: 🚨 SPIKE DETECTED
[15:52:43] Price: $1960.52 | Vol: 1066 | Change: -0.03% | Status: 🚨 SPIKE DETECTED
[15:52:53] Price: $1960.51 | Vol: 1083 | Change: -0.03% | Status: 🚨 SPIKE DETECTED
[15:53:03] Price: $1960.51 | Vol: 1087 | Change: -0.03% | Status: 🚨 SPIKE DETECTED
[15:53:13] Price: $1960.76 | Vol: 46 | Change: +0.01% | Status: Normal
[15:53:23] Price: $1960.76 | Vol: 68 | Change: +0.01% | Status: Normal
[15:53:33] Price: $1960.87 | Vol: 109 | Change: +0.02% | Status: Normal
[15:53:43] Price: $1960.88 | Vol: 138 | Change: +0.02% | Status: Normal
[15:53:53] Price: $1960.87 | Vol: 186 | Change: +0.02% | Status: Normal
[15:54:03] Price: $1960.79 | Vol: 192 | Change: +0.01% | Status: Normal
[15:54:13] Price: $1960.47 | Vol: 53 | Change: -0.02% | Status: Normal
[15:54:23] Price: $1960.05 | Vol: 110 | Change: -0.04% | Status: Normal
[15:54:33] Price: $1959.82 | Vol: 162 | Change: -0.05% | Status: Normal
[15:54:43] Price: $1959.90 | Vol: 472 | Change: -0.04% | Status: 🚨 SPIKE DETECTED
[15:54:53] Price: $1959.91 | Vol: 486 | Change: -0.04% | Status: 🚨 SPIKE DETECTED
[15:55:04] Price: $1960.41 | Vol: 574 | Change: -0.02% | Status: 🚨 SPIKE DETECTED
[15:55:14] Price: $1960.37 | Vol: 30 | Change: -0.00% | Status: Normal
[15:55:24] Price: $1960.36 | Vol: 52 | Change: -0.00% | Status: Normal
[15:55:34] Price: $1960.33 | Vol: 87 | Change: -0.00% | Status: Normal
[15:55:44] Price: $1960.21 | Vol: 107 | Change: -0.01% | Status: Normal
[15:55:54] Price: $1960.40 | Vol: 161 | Change: -0.00% | Status: Normal
[15:56:04] Price: $1960.43 | Vol: 214 | Change: +0.00% | Status: Normal
[15:56:14] Price: $1960.44 | Vol: 15 | Change: +0.00% | Status: Normal
[15:56:24] Price: $1960.44 | Vol: 17 | Change: +0.00% | Status: Normal
[15:56:34] Price: $1960.44 | Vol: 28 | Change: +0.00% | Status: Normal
[15:56:44] Price: $1960.51 | Vol: 150 | Change: +0.00% | Status: Normal
[15:56:54] Price: $1960.51 | Vol: 154 | Change: +0.00% | Status: Normal
[15:57:04] Price: $1960.52 | Vol: 158 | Change: +0.00% | Status: Normal
[15:57:14] Price: $1960.50 | Vol: 35 | Change: -0.00% | Status: Normal
[15:57:24] Price: $1960.25 | Vol: 56 | Change: -0.01% | Status: Normal
[15:57:34] Price: $1960.28 | Vol: 84 | Change: -0.01% | Status: Normal
[15:57:44] Price: $1960.59 | Vol: 142 | Change: +0.00% | Status: Normal
[15:57:54] Price: $1960.59 | Vol: 145 | Change: +0.00% | Status: Normal
[15:58:05] Price: $1960.71 | Vol: 18 | Change: +0.01% | Status: Normal
[15:58:15] Price: $1960.77 | Vol: 98 | Change: +0.01% | Status: Normal
[15:58:25] Price: $1960.77 | Vol: 105 | Change: +0.01% | Status: Normal
[15:58:35] Price: $1960.60 | Vol: 272 | Change: +0.00% | Status: 🚨 SPIKE DETECTED
[15:58:45] Price: $1960.61 | Vol: 272 | Change: +0.00% | Status: 🚨 SPIKE DETECTED
[15:58:55] Price: $1960.59 | Vol: 387 | Change: +0.00% | Status: 🚨 SPIKE DETECTED
[15:59:05] Price: $1960.60 | Vol: 392 | Change: +0.00% | Status: 🚨 SPIKE DETECTED
[15:59:15] Price: $1960.71 | Vol: 71 | Change: +0.01% | Status: Normal
[15:59:25] Price: $1960.71 | Vol: 77 | Change: +0.01% | Status: Normal
[15:59:35] Price: $1960.70 | Vol: 85 | Change: +0.01% | Status: Normal
[15:59:45] Price: $1960.57 | Vol: 194 | Change: -0.00% | Status: Normal
[15:59:55] Price: $1960.51 | Vol: 227 | Change: -0.00% | Status: Normal
[16:00:05] Price: $1960.50 | Vol: 240 | Change: -0.00% | Status: Normal
[16:00:15] Price: $1960.50 | Vol: 56 | Change: +0.00% | Status: Normal
[16:00:25] Price: $1960.50 | Vol: 60 | Change: +0.00% | Status: Normal
[16:00:35] Price: $1960.42 | Vol: 157 | Change: -0.00% | Status: Normal
[16:00:45] Price: $1960.27 | Vol: 193 | Change: -0.01% | Status: Normal
[16:00:55] Price: $1960.20 | Vol: 238 | Change: -0.02% | Status: Normal
[16:01:05] Price: $1960.09 | Vol: 14 | Change: -0.00% | Status: Normal
[16:01:15] Price: $1960.00 | Vol: 50 | Change: -0.01% | Status: Normal
[16:01:26] Price: $1960.00 | Vol: 81 | Change: -0.01% | Status: Normal
[16:01:36] Price: $1960.00 | Vol: 101 | Change: -0.01% | Status: Normal
[16:01:46] Price: $1959.86 | Vol: 213 | Change: -0.01% | Status: 🚨 SPIKE DETECTED
[16:01:56] Price: $1960.16 | Vol: 470 | Change: +0.00% | Status: 🚨 SPIKE DETECTED
[16:02:06] Price: $1959.75 | Vol: 545 | Change: -0.02% | Status: 🚨 SPIKE DETECTED
[16:02:16] Price: $1959.81 | Vol: 81 | Change: +0.00% | Status: Normal
[16:02:26] Price: $1959.77 | Vol: 192 | Change: +0.00% | Status: Normal
[16:02:36] Price: $1959.74 | Vol: 200 | Change: -0.00% | Status: Normal
[16:02:46] Price: $1959.74 | Vol: 241 | Change: -0.00% | Status: Normal
[16:02:56] Price: $1960.00 | Vol: 315 | Change: +0.01% | Status: 🚨 SPIKE DETECTED
[16:03:06] Price: $1960.00 | Vol: 318 | Change: +0.01% | Status: Normal
[16:03:16] Price: $1959.99 | Vol: 18 | Change: -0.00% | Status: Normal
[16:03:26] Price: $1960.00 | Vol: 41 | Change: +0.00% | Status: Normal
[16:03:36] Price: $1960.00 | Vol: 47 | Change: +0.00% | Status: Normal
[16:03:47] Price: $1959.62 | Vol: 190 | Change: -0.02% | Status: Normal
[16:03:57] Price: $1959.01 | Vol: 725 | Change: -0.05% | Status: 🚨 SPIKE DETECTED
[16:04:07] Price: $1959.28 | Vol: 860 | Change: -0.04% | Status: 🚨 SPIKE DETECTED
[16:04:17] Price: $1960.03 | Vol: 247 | Change: +0.04% | Status: Normal
[16:04:27] Price: $1960.04 | Vol: 276 | Change: +0.04% | Status: Normal
[16:04:37] Price: $1960.04 | Vol: 285 | Change: +0.04% | Status: Normal
[16:04:47] Price: $1960.17 | Vol: 363 | Change: +0.05% | Status: Normal
[16:04:57] Price: $1960.29 | Vol: 423 | Change: +0.05% | Status: Normal
[16:05:07] Price: $1960.28 | Vol: 0 | Change: -0.00% | Status: Normal
[16:05:17] Price: $1960.32 | Vol: 324 | Change: +0.00% | Status: Normal
[16:05:27] Price: $1960.07 | Vol: 339 | Change: -0.01% | Status: Normal
[16:05:37] Price: $1960.06 | Vol: 364 | Change: -0.01% | Status: Normal
[16:05:47] Price: $1960.43 | Vol: 581 | Change: +0.01% | Status: 🚨 SPIKE DETECTED
[16:05:57] Price: $1960.43 | Vol: 603 | Change: +0.01% | Status: 🚨 SPIKE DETECTED
[16:06:07] Price: $1960.60 | Vol: 39 | Change: +0.00% | Status: Normal
[16:06:17] Price: $1960.60 | Vol: 55 | Change: +0.00% | Status: Normal
[16:06:27] Price: $1960.60 | Vol: 87 | Change: +0.00% | Status: Normal
[16:06:37] Price: $1960.59 | Vol: 103 | Change: +0.00% | Status: Normal
[16:06:48] Price: $1960.60 | Vol: 121 | Change: +0.00% | Status: Normal
[16:06:58] Price: $1960.59 | Vol: 175 | Change: +0.00% | Status: Normal
[16:07:08] Price: $1960.60 | Vol: 33 | Change: +0.01% | Status: Normal
[16:07:18] Price: $1960.97 | Vol: 225 | Change: +0.03% | Status: Normal
[16:07:28] Price: $1961.00 | Vol: 280 | Change: +0.03% | Status: Normal
[16:07:38] Price: $1961.00 | Vol: 290 | Change: +0.03% | Status: Normal
[16:07:48] Price: $1960.99 | Vol: 311 | Change: +0.03% | Status: Normal
[16:07:58] Price: $1960.99 | Vol: 324 | Change: +0.03% | Status: Normal
[16:08:08] Price: $1961.49 | Vol: 369 | Change: +0.02% | Status: Normal
[16:08:18] Price: $1962.25 | Vol: 830 | Change: +0.06% | Status: 🚨 SPIKE DETECTED
[16:08:28] Price: $1962.63 | Vol: 2478 | Change: +0.08% | Status: 🚨 SPIKE DETECTED
[16:08:38] Price: $1962.68 | Vol: 2935 | Change: +0.09% | Status: 🚨 SPIKE DETECTED
[16:08:48] Price: $1962.68 | Vol: 2990 | Change: +0.09% | Status: 🚨 SPIKE DETECTED
[16:08:58] Price: $1963.32 | Vol: 3417 | Change: +0.12% | Status: 🚨 SPIKE DETECTED
[16:09:08] Price: $1963.59 | Vol: 105 | Change: +0.01% | Status: Normal
[16:09:18] Price: $1963.79 | Vol: 785 | Change: +0.02% | Status: Normal
[16:09:28] Price: $1963.60 | Vol: 1304 | Change: +0.01% | Status: Normal
[16:09:38] Price: $1963.66 | Vol: 1368 | Change: +0.02% | Status: Normal
[16:09:49] Price: $1963.21 | Vol: 1726 | Change: -0.01% | Status: 🚨 SPIKE DETECTED
[16:09:59] Price: $1963.05 | Vol: 1750 | Change: -0.01% | Status: Normal
[16:10:09] Price: $1962.67 | Vol: 20 | Change: -0.00% | Status: Normal
[16:10:19] Price: $1962.91 | Vol: 199 | Change: +0.01% | Status: Normal
[16:10:29] Price: $1962.91 | Vol: 208 | Change: +0.01% | Status: Normal
[16:10:39] Price: $1962.55 | Vol: 298 | Change: -0.01% | Status: Normal
[16:10:49] Price: $1962.54 | Vol: 340 | Change: -0.01% | Status: Normal
[16:10:59] Price: $1962.54 | Vol: 345 | Change: -0.01% | Status: Normal
[16:11:09] Price: $1962.53 | Vol: 3 | Change: -0.00% | Status: Normal
[16:11:19] Price: $1962.54 | Vol: 7 | Change: +0.00% | Status: Normal
[16:11:29] Price: $1962.26 | Vol: 89 | Change: -0.01% | Status: Normal
[16:11:39] Price: $1962.25 | Vol: 97 | Change: -0.01% | Status: Normal
[16:11:49] Price: $1962.26 | Vol: 102 | Change: -0.01% | Status: Normal
[16:11:59] Price: $1962.26 | Vol: 109 | Change: -0.01% | Status: Normal
[16:12:09] Price: $1962.26 | Vol: 2 | Change: +0.00% | Status: Normal
[16:12:19] Price: $1962.26 | Vol: 58 | Change: +0.00% | Status: Normal
[16:12:30] Price: $1962.61 | Vol: 501 | Change: +0.02% | Status: Normal
[16:12:40] Price: $1962.60 | Vol: 516 | Change: +0.02% | Status: Normal
[16:12:50] Price: $1962.53 | Vol: 561 | Change: +0.01% | Status: Normal
[16:13:00] Price: $1962.40 | Vol: 641 | Change: +0.01% | Status: 🚨 SPIKE DETECTED
[16:13:10] Price: $1962.40 | Vol: 10 | Change: +0.00% | Status: Normal
[16:13:20] Price: $1962.70 | Vol: 244 | Change: +0.02% | Status: Normal
[16:13:30] Price: $1962.70 | Vol: 272 | Change: +0.02% | Status: Normal
[16:13:40] Price: $1962.59 | Vol: 300 | Change: +0.01% | Status: Normal
[16:13:50] Price: $1962.59 | Vol: 314 | Change: +0.01% | Status: Normal
[16:14:00] Price: $1962.56 | Vol: 317 | Change: +0.01% | Status: Normal
[16:14:10] Price: $1962.57 | Vol: 6 | Change: +0.00% | Status: Normal
